S No_S No,Maker_Maker,Calendar Year_2023,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,546,546
2,3S INDUSTRIES PRIVATE LIMITED,266,266
3,A1 HEAVY EQUIPMENTS DEVELOPER,25,25
4,A-1 SUREJA INDUSTRIES,1,1
5,AADHYA ENTERPRISES,797,797
6,AADITYA EMOTORS INDIA PVT LTD,1,1
7,AADITYA GARBAGE PRODUCTS PVT LTD,34,34
8,AAHANA COMMERCE PVT LTD,919,919
9,AAKK AUTO PVT LTD,0,0
10,AARGEE ELECTRIC,18,18
11,AARON INDUSTRIES,36,36
12,A.B. AGRO ENGINEERING WORKS,0,0
13,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0
14,A B EXCAVATORS & EARTHMOVERS PVT LTD,1,1
15,AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,1,1
16,ABZO MOTORS PVT LTD,15,15
17,ACCRETION POWER AUTOS,598,598
18,ACTION CONSTRUCTION EQUIPMENT LTD.,8884,8884
19,A D AGRO WORKS,110,110
20,ADAPT MOTORS PVT LTD,4,4
21,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2323,2323
22,ADIDEV TECHNOA PVT LTD,689,689
23,ADISHAKTI TRACTORS,40,40
24,ADISHWAR AUTO RIDE INDIA PVT.LTD,1,1
25,ADISHWAR AUTO RIDE INDIA PVT LTD,384,384
